id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
79jX8RM5CgPqDKdGEKNW9K,0.628,0.715,5,-7.097,1,0.0541,0.0524,0.0,0.11900000000000001,0.429,139.991,211600,4
27hauwRp0G2YflSJfkmD3o,0.37799999999999995,0.254,7,-9.021,1,0.0353,0.8440000000000001,0.0,0.111,0.373,78.97800000000001,195481,4
4hQ6UGyWQIGJmHSo0J88JW,0.601,0.7240000000000001,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,207905,4
2deFH5zveEBEUuURpqTN3C,0.578,0.43,10,-6.396,1,0.0282,0.608,2.67e-06,0.11699999999999999,0.156,136.82399999999998,243187,4
5iQ0Va8Dt5Yky4TXuqO5TF,0.6890000000000001,0.491,9,-6.042000000000001,1,0.0317,0.711,0.0,0.172,0.868,90.01100000000001,173005,4
6iMoJ3UdrO2ZjzzcaN8Eom,0.675,0.8490000000000001,0,-3.841,1,0.0675,0.0938,0.0,0.121,0.6809999999999999,100.111,238667,4
1e9oZCCiX42nJl0AcqriVo,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
6e9neXGyujjE4TDUMMLY5d,0.6859999999999999,0.531,8,-12.173,1,0.0795,0.529,0.00854,0.107,0.271,99.022,195324,4
4jaiounlhJY1Vd0Vt6lrpB,0.33799999999999997,0.39899999999999997,0,-10.11,1,0.0378,0.287,0.0,0.32299999999999995,0.327,169.74200000000002,190928,4
15kQGEy89K8deJcZVFEn0N,0.539,0.6509999999999999,1,-5.303999999999999,1,0.0432,0.0651,0.0,0.0662,0.474,105.15899999999999,199227,4
05Pz7sJkLVYywGjRkAPY3x,0.794,0.7390000000000001,5,-7.519,0,0.0475,0.00253,0.00025,0.10099999999999999,0.953,125.00399999999999,187147,4
21xRlfE6OjTAFQ4wd9u8IU,0.413,0.272,1,-11.568,1,0.0317,0.945,0.0279,0.11199999999999999,0.355,109.69,211882,4
